,index,access,bridge,highway,junction,lanes,length,maxspeed,oneway,tunnel,geometry,name,osmid,ref,service,width
2701,2701,missing,missing,residential,missing,4.0,119.006,25.0,True,missing,"LINESTRING (583963.7474948517 4506807.601733141, 584005.4366796422 4506830.333224414, 584021.5934509631 4506838.987032331, 584068.489430931 4506864.442345582)",Cliff Street,5670174,,,
2702,2702,missing,missing,secondary,missing,4.0,82.265,25.0,False,missing,,Amsterdam Avenue,196116972,,,
2703,2703,missing,missing,secondary,missing,4.0,85.071,25.0,False,missing,"LINESTRING (589164.9106054303 4520671.678217939, 589161.5536822304 4520665.442496152, 589124.5681197791 4520596.848955099)",Amsterdam Avenue,196116972,,,
2704,2704,missing,missing,tertiary,missing,4.0,80.059,25.0,False,missing,,Audubon Avenue,5672662,,,
2705,2705,missing,missing,residential,missing,4.0,133.989,25.0,True,missing,"LINESTRING (590449.0645360616 4523351.568534567, 590344.3307691283 4523406.054347318, 590330.0354625144 4523413.495785853)",West 193rd Street,5670176,,,
2706,2706,missing,missing,tertiary,missing,4.0,132.725,25.0,False,missing,"LINESTRING (590449.0645360616 4523351.568534567, 590459.1846725908 4523372.543277781, 590459.1422204426 4523376.695138692, 590458.9760845863 4523393.002856777, 590453.7933215161 4523410.070690791, 590442.9069332371 4523424.115340292, 590419.0314072265 4523442.197667562, 590411.0765066415 4523447.47389324, 590399.5435796559 4523455.126676282)",Audubon Avenue,5672662,,,
2707,2707,missing,missing,secondary,missing,4.0,163.534,25.0,True,missing,"LINESTRING (589269.5105528251 4515381.889493704, 589250.5547660346 4515370.158729744, 589239.1315446029 4515362.204855578, 589212.5358398259 4515343.687301374, 589199.51859118 4515334.248754026, 589183.8594240354 4515319.948835837, 589170.3063174158 4515307.350796039, 589156.3787894477 4515292.905269373, 589144.1087607903 4515278.16886917)",FDR Drive,46240377,,,
2708,2708,missing,missing,secondary,missing,4.0,82.47300000000001,25.0,True,missing,"LINESTRING (589144.1087607903 4515278.16886917, 589132.8184059926 4515263.366573717, 589120.5766057114 4515245.577390158, 589108.23539444 4515223.423780924, 589100.1856973402 4515208.605050253)",FDR Drive,46240377,,,
2709,2709,missing,missing,residential,missing,4.0,68.791,25.0,True,missing,"LINESTRING (589144.1087607903 4515278.16886917, 589098.467566681 4515302.943833101, 589083.0243538551 4515309.941178427)",East 97th Street,46334578,,,
2710,2710,missing,missing,secondary,missing,4.0,83.255,25.0,True,missing,"LINESTRING (589071.831657552 4515128.559469759, 589081.0147937615 4515150.186486323, 589084.4952043926 4515158.310941271, 589087.456788587 4515163.26496337, 589091.3867073639 4515167.697728018, 589100.7886118756 4515174.650009312, 589106.5271369831 4515177.461400057, 589115.530111479 4515182.499281389, 589118.0035059819 4515183.139699196, 589124.7475130392 4515187.950545965)",FDR Drive,5669236,,,
2711,2711,missing,missing,secondary,missing,4.0,200.155,25.0,False,missing,"LINESTRING (589071.831657552 4515128.559469759, 589068.696134221 4515103.696728957, 589066.9582800685 4515072.089440682, 589067.3998147773 4515057.139800961, 589068.9092500311 4515038.306066052, 589071.0919596951 4515018.225861935, 589075.363425327 4514992.886048915, 589087.7916893939 4514930.728892749)",FDR Drive,46240376,,,
2712,2712,missing,missing,motorway_link,missing,4.0,54.79900000000001,25.0,True,missing,"LINESTRING (589115.554867101 4514841.222398774, 589116.8063740433 4514839.616515376, 589118.0511808414 4514837.866220128, 589120.2674285368 4514834.639898908, 589122.3536108735 4514831.001222834, 589124.7309417925 4514825.611871906, 589127.3897987301 4514819.271104281, 589143.6149544313 4514794.386153621)",,32961932,,,
