,access,bridge,geometry,highway,junction,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,width
1005,,,"LINESTRING (586889.5023757076 4516760.971844118, 586895.6904835949 4516757.791548355, 586904.4081998364 4516753.308694905)",residential,,,16.737000000000002,,West 100th Street,True,295999078,,,,
1006,,,,residential,,,128.205,,West 101st Street,True,5673465,,,,
1007,,,,primary,,,77.805,,Broadway,True,196116982,,,,
1008,,,,primary,,,80.661,,Broadway,True,196116982,,,,
1009,,,"LINESTRING (586963.1311789863 4516901.160634672, 586971.1701138245 4516896.991850101, 586978.9967237985 4516892.942703157)",residential,,,17.843,,West 102nd Street,True,5672120,,,,
1010,,,,residential,,,127.437,,West 103rd Street,True,172598470,,,,
1011,,,"LINESTRING (587001.5809377288 4516972.001786501, 586984.4178815391 4516938.470626656, 586963.1311789863 4516901.160634672)",primary,,,80.68,,Broadway,True,196116982,,,,
1012,,,,primary,,,81.309,,Broadway,True,196116982,,,,
1013,,,"LINESTRING (587028.5638741039 4517048.603585365, 587037.1154984026 4517043.874686929, 587046.5587676723 4517038.656685581)",residential,,,20.534,,West 104th Street,True,5671540,,,,
1014,,,,residential,,,93.652,,West 105th Street,True,5670640,,,,
1015,,,"LINESTRING (587046.180060873 4517128.181717437, 587042.6215292116 4517107.955731572, 587033.1755776292 4517064.656361786, 587028.5638741039 4517048.603585365)",primary,,,81.67200000000001,,Broadway,True,196116982,,,,
1016,,,,primary,,,94.861,,Broadway,True,196116982,,,,
1017,,,,residential,,,19.022,,West 107th Street,True,500796506,,,,
1018,,,,residential,,,135.43,,West 109th Street,True,5671570,,,,
1019,,,,primary,,,79.915,,Broadway,True,195743148,,,,
1020,,,,secondary,,,117.403,,Cathedral Parkway,False,46111631,,,,
1021,,,,primary,,,76.499,,Broadway,True,195743148,,,,
1022,,,,secondary,,,16.711,,Cathedral Parkway,False,455674352,,,,
1023,,,,residential,,,135.542,,West 111th Street,True,465067248,,,,
1024,,,,primary,,,83.197,,Broadway,True,497262776,,,,
1025,,,,primary,,,79.517,,Broadway,True,524569322,,,,
1026,,,"LINESTRING (587228.6365727561 4517679.499547395, 587233.3072696386 4517676.890073207, 587244.3387721224 4517670.71406383)",residential,,,17.969,,West 112th Street,True,5670544,,,,
1027,,,,residential,,,166.848,,West 113th Street,True,166084358,,,,
1028,,,,primary,,,79.638,,Broadway,True,524569322,,,,
1029,,,,primary,,,79.685,,Broadway,True,524569322,,,,
1030,,,"LINESTRING (587304.0542776214 4517819.713469737, 587309.7424751414 4517816.660860584, 587319.7946527448 4517811.250570175)",residential,,,17.847,,West 114th Street,True,5672656,,,,
1031,,,,primary,,,80.892,,Broadway,True,524569322,,,,
1032,,,"LINESTRING (587342.3736784046 4517890.888251325, 587236.7187005824 4517946.907089101, 587172.1262122068 4517981.151114435)",residential,,,192.434,,West 115th Street,True,524569313,,,,
1033,,,,primary,,,87.728,,Broadway,True,195743140,,,,
1034,,,,residential,,,83.408,,Tiemann Place,False,5671710,,,,
1035,,,,primary,,,170.611,,Broadway,True,195743140,,,,
1036,,,,primary,,,79.024,,Broadway,True,195743140,,,,
1037,,,"LINESTRING (587845.0487731519 4518832.222323411, 587853.6903498502 4518820.512037328, 587857.2738393963 4518815.65845591)",primary,,,20.593,,West 125th Street,False,196117067,,,,
